0,1,2,3
AACHI MASALA FOODS (P) LTD,Chennai,044-26185410,Mr. J. Justin Antony
AADVIK FOODS & PRODUCTS PCT. LTD.,New Delhi,NA,Mr. Hitesh Rathi
ABHYUDAY TECHNO ECONOMIC CONSULTANTS PVT. LTD.,Ahmedabad,"079-26856999, 40307951",Mr. Navneen Kumar
ABLE MANUFACTURERS,Hyderabad,040-23511700,Mr. V. Chandrakala
ADF FOODS LTD.,Mumbai,022 6141 5555,Ms. Diana Michael
AGRI PROCESS INNOVATION TECHNOLOGIES LLP,Bengaluru,080-22249688,Mr. Santosh
AGRIPURE NATURAL FOODS PVT. LTD.,Pune,NA,Ms. Sadhana Ganesh Kokate
AGRIXLAB PVT. LTD.,Thane,NA,Mr. Saurabh Kumar
AGT FOODS INDIA PVT. LTD.,Mumbai,022-61470470,Mr. Vishal Jhunjhunwala
ANGEL STARCH & FOOD PVT. LTD.,Erode,0424-2272728,Mr. M.K. Radhika
AOV AGRO FOODS PVT. LTD.,Noida,0120-4692900,Mr. Rahul Nanda
APEDA,New Delhi,"011-26513204, 26514572, 26513219",Mr. Kamal Kant
APEKSHA GOURMET JAR PVT. LTD.,Noida,0120-4245730,Mr. Rishab Suresh
APOLLO HOSPITALS ENTERPRISE LTD.,New Delhi,011-30837500,Mr. Aftab Ahmad
APSARA FOODS INDSUTRIES PVT. LTD.,New Delhi,0120-4108443,Mr. Vivek Kumar
ARCTIC REFRIGRATION PVT LTD,Gurgaon,0124-4008965,Mr. Neetika Dudeja
ASHA FOODS,Mahuva,NA,Mr. Paresh
ASHOKA METAL WORKS & CO.,New Delhi,011-28343251,Mr. Rachit Gupta
AUSTIN FOODS & BEVERAGES PVT. LTD.,Anand,02697-235900,Mrs. Rupal Katkoria
BAGRRYS INDIA LIMITED,New Delhi,011-46000520,Mr. Vikram Bhagat
BAJAJ PROCESSPACK LIMITED,Noida,0120-4639950-99,Mr. Manoj Khubchandani
BARLEY AGRO FOODS PVT. LTD.,Alwar,NA,Mr. Vasu Gupta
