company_name,contact_person,telephone
Kemit Chemicals Pvt. Ltd.,Yogesh K. / Keyur Y. Desai,+91 7929707910
Aaren Textiles Pvt.ltd,Mr.nikhil Thakkar,+91 9913055530
Aarti Textile Industries,Rajendrakumar N. Patel,+91 9898322214
Adachi Paste Company,Mihir V. Patel/ V. S. Patel,+91 9825036759
Aditi Silk Mills Pvt. Ltd.,Amit K. Khurana,+91 9825037217
Aditya Textile Engineers,Ashish Gujarati,+91 9375590456
Alidhara Weavtech Pvt. Ltd.,Vallabh Bhai S. Thummar,+91 8980070707
Alliance Fibres Limited,Ashwin Patel,+91 93747 10024
Alok Industries Limited,Amit Sinha,+91 9920260764
Alok Industries Ltd.,Mr Rambiles Bidada,+91 -
Ambica Knitting Mills,-,+91 -
Americos Industries,Alpesh Thaker,+91 -
Amik Printers India Pvt. Ltd.,A. Khaliq A. Dastan,+91 9825109600
Amit J. Mali,Dharmesh Modi,+91 9924750011
Amulya Bio Products,Mr Dolly Pujara,+91 2602668716
Anubha Auxichem Pvt. Ltd.,Krishan S. Sharma,+91 9824111260
Arun Textile Engineers Pvt.ltd,Dharmesh Mistri,+91 98251 41118
Arvind Limited,Rajesh Gupta,+91 9925848401
Asha Industries,Mehul S. Vadodaria,+91 9825205638
Ashok Textiles,Ashok Kumar Gupta,+91 9374711462
Avadh Exports (heena Tex),Rameshbhai M. Patel,+91 9825220201
Avon Crimpers,Manoj Arora,+91 9377542893
B-tex Laboratory,Mr Dharmesh Kapadia,+91 9898106399
B. S. Engineers,Shivabhai H. Patel,+91 9824541152
B. S. Engineers,Shivabhai H. Patel,+91 9824541152
Bhagat Synthetics,-,+91 9825116168
Bhagyarekha Engineers Pvt. Ltd,Rakesh Shah,+91 -
Bhargesh Engineering,Anang Desai,+91 9824154614
Bhavesh Fabrics,Jagdish S. Ramani,+91 9825127575
Bhavna Textile,Chapatwala Gaurangbhai Hemantbhai,+91 9825109960
Binaykia Synthetics Ltd.,-,+91 -
Bindal Corporation,Harish Goyal,+91 9374506063
Birla Century (a Div Of Century Textiles & Industries Ltd),Birla Century (a Div Of Century Textiles & Industries Ltd),+91 -
Boss Impex,Dinesh R. Patel,+91 9825136504
Centennial Fabrics Ltd.,D.c. Mehta,+91 -
Chirag Synthetics Mills (p) Ltd.,Arun Goyal,+91 9825328401
Choksy Twisters Pvt. Ltd.,Jigar Choksy,+91 -
Colofab (india),Mayank M Choksi,+91 9357399945
Createch Controls,Parag Thakarar,+91 9824067225
Deep Jyoti Textiles Mills,Samer Vohra,+91 9227800506
Deepak Dyes & Chemical Industries,K.p. Desai,+91 9825559594
Devi Processors Pvt. Ltd.,Mitul S. Mehta,+91 9879677666
Dharm Nandan Synthetics,Uttambhai Vaghasia,+91 9227926219
Dhaval Engineering Works,Jayesh Patel,+91 9879573570
Diamond Textile,Mitesh Shah,+91 7922702547
Diamond Trading Company,Harish Solanki,+91 07999435488
Divyesh Silk Mills,Vasantkumar L. Lakhani,+91 9825135035
Divyesh Textiles,Dinesh Mehra,+91 9825121490
Dye Fab Textiles,Hasmukh S./mahendra T. Patel,+91 -
Dynamic Autolooms India Pvt. Ltd.,Vasant Patel/ Mittal Patel,+91 9878944411
Earth Enterprises,Devan D. Vora,+91 9376243564
Eldee Velvets & Industries Ltd.,Deepak Patel,+91 -
Ex-im International,Ghanshyam Kulwal,+91 -
Gagan Fabrics,Anil Parekh,+91 9374716561
General Detergents,Mayank Tejura,+91 -
Ghritachi Fab,Arvindbhai N. Chevli,+91 9727021517
Gujarat Spindle,-,+91 9825621150
Gupta Synthetics Ltd.,Mr Premsingh Rajput,+91 9825800942
Hardik Enterprise,Manoj Parmar,+91 9825278300
